modelo,parametros_b,bbh,gsm8k,musr,mmlu_pro,gpqa,arc_challenge,ifeval,truthfulqa,hellaswag
NousResearch/Yarn-Mistral-7b-128k,7.0,43.14,32.6,40.71,28.93,29.87,59.64,19.34,41.78,82.5
NousResearch/Yarn-Mistral-7b-64k,7.0,42.93,33.28,41.24,29.14,29.03,59.9,20.8,41.86,82.51
NucleusAI/nucleus-22B-token-500B,21.83,29.2,0.99,35.11,11.62,25.0,40.7,2.57,39.16,69.39
Open-Orca/Mistral-7B-OpenOrca,7.0,47.68,19.94,38.58,26.53,27.18,64.08,49.78,53.05,83.99
OpenAssistant/oasst-sft-1-pythia-12b,12.0,31.47,0.61,33.27,11.13,25.76,46.42,10.55,39.19,70.0
OpenBuddy/openbuddy-llama3-8b-v21.1-8k,8.03,47.88,61.18,39.88,29.55,27.1,57.42,55.7,55.48,78.73
OpenBuddy/openbuddy-mixtral-7bx8-v18.1-32k,46.74,46.56,65.35,38.31,38.04,30.45,68.09,54.93,56.74,84.29
Qwen/Qwen1.5-110B,111.21,61.0,81.05,44.08,53.61,35.23,69.97,34.22,49.66,87.48
Qwen/Qwen1.5-110B-Chat,111.21,61.84,30.1,45.22,48.25,34.14,72.01,59.39,65.86,84.67
Qwen/Qwen1.5-14B,14.17,50.8,67.63,41.86,36.44,29.45,56.57,29.05,52.06,81.08
Qwen/Qwen1.5-14B-Chat,14.17,52.29,30.86,44.0,36.18,27.01,58.79,47.68,60.38,82.33
Qwen/Qwen1.5-32B,32.51,57.15,61.11,42.78,45.0,32.97,63.57,32.97,57.39,85.0
Qwen/Qwen1.5-32B-Chat,32.51,60.67,7.05,41.6,44.57,30.62,66.04,55.32,66.95,85.49
Qwen/Qwen1.5-7B,7.72,45.6,53.53,41.03,29.16,29.87,54.18,26.84,51.08,78.51
Qwen/Qwen1.5-7B-Chat,7.72,45.1,13.57,37.79,29.51,30.29,55.89,43.71,53.54,78.56
Qwen/Qwen1.5-MoE-A2.7B,14.32,41.14,16.98,40.13,27.78,25.92,54.86,26.6,50.09,79.39
Qwen/Qwen1.5-MoE-A2.7B-Chat,14.32,42.72,28.2,38.99,29.23,27.43,53.67,37.95,50.56,80.54
Qwen/Qwen2-72B,72.71,66.17,85.29,47.04,57.31,39.43,68.77,38.24,54.74,87.27
Qwen/Qwen2-7B,7.62,53.15,72.93,44.39,41.83,30.45,59.73,31.49,53.14,79.82
RWKV/rwkv-raven-14b,14.0,33.07,2.12,39.51,11.5,22.9,44.62,7.68,41.93,71.25
RubielLabarta/LogoS-7Bx2-MoE-13B-v0.2,12.88,52.07,71.57,42.26,30.88,27.77,74.4,43.79,74.53,89.09
SanjiWatsuki/Kunoichi-DPO-v2-7B,7.24,44.16,65.88,41.88,31.07,29.61,69.62,54.31,66.06,87.44
SanjiWatsuki/Silicon-Maid-7B,7.24,41.28,61.94,41.88,30.83,29.03,68.17,53.68,61.64,86.52
Sao10K/Fimbulvetr-11B-v2,10.73,45.44,64.67,43.54,33.01,29.19,70.14,51.0,63.43,87.79
SeaLLMs/SeaLLM-7B-v2,7.38,49.02,68.69,40.7,30.83,27.85,61.86,36.71,51.15,82.34
SeaLLMs/SeaLLM-7B-v2.5,8.54,49.8,74.37,42.03,32.03,27.6,63.48,45.22,53.78,81.54
TIGER-Lab/MAmmoTH2-7B-Plus,7.24,42.35,71.11,41.24,30.17,28.02,63.57,55.75,54.53,80.11
Telugu-LLM-Labs/Indic-gemma-7b-finetuned-sft-Navarasa-2.0,8.54,40.23,32.15,40.83,23.5,27.01,54.61,32.37,49.59,74.35
TencentARC/LLaMA-Pro-8B,8.36,34.84,17.82,40.18,18.11,26.01,53.75,22.77,38.86,77.91
TencentARC/LLaMA-Pro-8B-Instruct,8.36,42.24,44.2,41.9,19.46,27.43,52.99,44.86,49.43,76.98
TencentARC/Mistral_Pro_8B_v0.1,8.99,45.26,34.19,42.42,27.65,28.02,62.2,21.15,49.32,82.13
VAGOsolutions/Llama-3-SauerkrautLM-8b-Instruct,8.03,49.43,64.97,42.41,38.57,30.87,73.72,74.45,66.25,89.41
VAGOsolutions/SauerkrautLM-7b-HerO,7.24,49.04,49.28,39.24,30.46,27.27,63.23,53.46,49.22,83.52
VAGOsolutions/SauerkrautLM-7b-LaserChat,7.24,45.43,68.84,41.48,33.05,30.03,67.58,59.88,56.08,83.58
VAGOsolutions/SauerkrautLM-Gemma-7b,8.54,41.88,63.68,35.94,29.61,28.61,59.98,34.07,61.0,81.91
VAGOsolutions/SauerkrautLM-Mixtral-8x7B-Instruct,46.7,52.77,60.8,42.04,36.5,29.78,70.48,56.02,65.71,87.75
VAGOsolutions/SauerkrautLM-SOLAR-Instruct,10.73,51.69,64.14,39.65,31.83,30.54,70.82,49.17,71.95,88.63
ValiantLabs/Llama3-70B-Fireplace,70.55,64.89,83.62,44.49,48.93,35.49,70.65,77.74,59.77,85.0
Weyaxi/Bagel-Hermes-2x34B,60.81,49.17,68.69,45.17,45.89,32.8,69.8,54.32,64.82,85.26
Weyaxi/Bagel-Hermes-34B-Slerp,34.39,59.22,66.26,46.22,47.03,33.47,70.73,46.03,67.09,85.68
Weyaxi/Einstein-v4-7B,7.24,38.49,57.62,46.82,22.59,28.19,64.68,47.08,55.15,83.75
Weyaxi/Einstein-v6.1-Llama3-8B,8.03,50.08,66.11,42.13,31.31,28.19,62.46,45.68,55.1,82.41
Weyaxi/SauerkrautLM-UNA-SOLAR-Instruct,10.73,51.66,64.67,39.79,31.53,31.12,70.9,45.73,71.8,88.3
Yuma42/KangalKhan-RawRuby-7B,7.24,47.55,62.02,39.5,30.23,28.78,66.89,54.77,57.09,85.53
abacusai/Liberated-Qwen1.5-14B,14.0,49.48,66.49,41.75,35.12,28.36,57.94,36.31,52.48,80.65
abacusai/Llama-3-Smaug-8B,8.03,49.31,55.88,36.22,31.85,24.83,59.56,48.67,51.67,80.04
abacusai/Smaug-34B-v0.1,34.39,53.58,72.18,39.79,45.43,32.97,74.23,50.16,70.22,86.76
abacusai/Smaug-72B-v0.1,72.29,59.96,78.7,44.73,46.24,32.38,76.02,51.67,76.67,89.27
abacusai/Smaug-Mixtral-v0.1,46.7,51.62,72.48,42.98,33.52,30.12,74.91,55.54,66.88,87.79
abacusai/bigstral-12b-32k,12.48,47.0,26.91,45.6,26.41,29.28,59.98,41.94,68.21,84.1
abacusai/bigyi-15b,15.06,43.45,21.61,35.38,30.03,30.96,56.06,20.94,37.33,75.9
abhishek/autotrain-llama3-70b-orpo-v1,70.55,59.98,85.67,35.79,11.22,24.41,70.65,42.33,61.78,85.99
abhishek/autotrain-llama3-70b-orpo-v2,70.55,58.99,84.23,41.13,48.18,29.36,70.9,54.06,62.82,86.09
abhishek/autotrain-llama3-orpo-v2,8.03,31.59,66.03,37.92,22.18,26.68,62.12,43.72,52.2,79.51
adamo1139/Yi-34B-200K-AEZAKMI-v2,34.39,53.84,58.91,38.86,45.13,33.22,67.92,45.55,56.74,85.61
allknowingroger/LimyQstar-7B-slerp,7.24,50.24,64.59,41.46,31.03,29.87,67.92,34.91,61.82,86.54
allknowingroger/Meme-7B-slerp,7.24,46.61,54.89,42.23,28.1,28.61,65.87,51.64,65.42,86.23
allknowingroger/MultiCalm-7B-slerp,7.24,51.22,70.58,43.19,30.33,28.27,73.04,39.27,78.03,89.12
allknowingroger/MultiverseEx26-7B-slerp,7.24,51.34,71.04,42.93,30.35,28.27,72.95,39.39,78.12,89.17
allknowingroger/NeuralWestSeverus-7B-slerp,7.24,52.44,72.78,45.29,31.37,27.1,71.5,41.36,69.32,87.92
allknowingroger/Neuralcoven-7B-slerp,7.24,53.03,69.9,42.9,32.94,28.52,69.88,38.59,63.59,86.78
allknowingroger/Neuralmultiverse-7B-slerp,7.24,51.66,69.75,42.8,30.42,28.44,72.44,37.69,78.97,89.06
allknowingroger/ROGERphi-7B-slerp,7.24,51.96,68.69,46.85,30.53,28.86,67.58,38.61,59.84,86.19
allknowingroger/Strangecoven-7B-slerp,7.24,53.68,70.2,41.99,33.64,28.94,69.11,37.46,60.9,86.7
allknowingroger/WestlakeMaziyar-7B-slerp,7.24,52.45,68.46,44.74,30.78,30.37,73.38,48.38,68.75,88.71
allknowingroger/limyClown-7B-slerp,7.24,51.48,70.51,42.93,30.38,28.1,72.87,40.17,78.04,89.12
altomek/YiSM-34B-0rn,34.39,61.4,75.82,44.5,46.96,37.16,69.54,42.84,59.68,86.67
argilla/notus-7b-v1,7.24,45.12,34.57,33.64,30.04,28.94,64.59,50.82,54.35,84.83
argilla/notux-8x7b-v1,46.7,53.63,61.11,41.76,36.6,30.87,70.65,54.22,66.21,87.72
automerger/YamshadowExperiment28-7B,7.24,51.5,70.51,43.06,30.6,28.69,73.29,40.7,78.53,89.25
awnr/Mistral-7B-v0.1-signtensors-1-over-2,7.24,44.23,35.94,40.06,30.0,30.7,60.32,21.79,41.94,83.12
awnr/Mistral-7B-v0.1-signtensors-1-over-4,7.0,35.07,0.0,34.6,23.11,27.01,28.67,21.33,47.95,25.64
beowolx/CodeNinja-1.0-OpenChat-7B,7.24,44.41,66.57,42.43,30.15,29.45,63.48,54.47,47.16,83.65
berkeley-nest/Starling-LM-7B-alpha,7.24,44.4,62.4,41.2,31.72,29.7,63.82,54.8,46.39,84.9
bigcode/starcoder2-15b,15.96,44.48,52.24,35.01,23.53,27.35,47.35,27.8,37.87,64.09
bigcode/starcoder2-7b,7.17,36.61,25.09,37.93,16.42,25.17,38.31,22.09,41.99,51.91
bigscience/bloom-7b1,7.07,31.14,1.36,34.87,11.05,26.43,41.13,13.22,38.9,62.0
cloudyu/Mixtral_11Bx2_MoE_19B,19.19,52.09,65.28,42.97,33.11,29.03,71.16,38.51,72.0,88.47
cloudyu/Mixtral_34Bx2_MoE_60B,60.81,58.7,74.6,46.25,47.66,33.81,71.33,45.38,66.59,85.25
cloudyu/Mixtral_7Bx2_MoE,12.88,51.6,68.46,44.73,30.44,30.54,71.25,44.8,67.23,87.45
cloudyu/Yi-34Bx2-MoE-60B-DPO,60.81,51.68,73.92,43.75,46.77,32.21,71.25,53.19,66.24,85.1
cognitivecomputations/dolphin-2.9-llama3-8b,8.03,49.5,64.67,43.75,27.71,28.69,58.96,38.5,55.87,80.49
cognitivecomputations/dolphin-2.9.1-yi-1.5-34b,34.39,60.76,73.01,45.98,45.19,34.31,69.37,38.53,62.34,85.53
cognitivecomputations/dolphin-2.9.1-yi-1.5-9b,8.83,54.84,65.35,43.48,39.67,33.81,65.61,44.65,53.72,81.02
databricks/dbrx-instruct,131.6,54.29,67.32,42.69,36.83,34.14,67.83,54.16,67.02,88.85
databricks/dolly-v2-12b,12.0,33.2,1.21,37.39,11.29,24.08,42.41,23.55,33.83,72.53
databricks/dolly-v2-7b,7.0,31.73,1.14,35.53,11.49,26.85,44.54,20.1,34.88,69.64
davidkim205/Rhea-72b-v0.5,72.0,30.78,76.12,42.41,11.66,25.25,79.78,1.45,74.5,91.15
deepseek-ai/deepseek-llm-67b-chat,67.0,52.43,63.68,50.59,39.44,31.63,67.75,55.87,55.85,86.82
deepseek-ai/deepseek-llm-7b-chat,7.0,36.32,46.55,46.68,21.33,26.59,55.8,41.71,47.98,79.38
deepseek-ai/deepseek-moe-16b-base,16.38,34.09,17.29,36.58,15.05,25.42,53.24,24.5,36.08,79.77
dfurman/Llama-3-70B-Orpo-v0.1,70.55,46.55,76.8,45.34,38.93,25.76,68.69,20.49,49.62,88.01
dfurman/Llama-3-8B-Orpo-v0.1,8.03,38.42,48.75,35.66,22.98,26.09,60.67,28.35,50.47,82.56
dreamgen/WizardLM-2-7B,7.24,34.87,43.59,39.41,26.6,28.69,63.23,45.83,57.01,83.41
dzakwan/dzakwan-MoE-4x7b-Beta,24.15,51.4,70.81,42.67,31.08,28.61,72.1,44.43,74.51,88.87
facebook/opt-30b,30.0,30.7,2.2,36.04,11.64,26.93,43.26,24.53,35.16,74.07
failspy/Llama-3-8B-Instruct-MopeyMule,8.03,38.39,31.24,35.13,17.64,23.91,55.97,67.5,50.19,75.59
failspy/Llama-3-8B-Instruct-abliterated,8.03,43.54,41.47,41.16,27.42,27.6,51.45,59.09,47.91,74.02
failspy/Meta-Llama-3-8B-Instruct-abliterated-v3,8.03,49.25,70.74,36.22,36.54,26.43,61.77,72.45,52.53,78.42
failspy/Phi-3-medium-4k-instruct-abliterated-v3,13.96,63.05,71.87,46.04,44.0,31.71,65.44,63.19,49.98,85.07
failspy/llama-3-70B-Instruct-abliterated,70.55,64.65,85.29,41.28,51.45,28.94,72.01,80.23,63.15,86.02
fblgit/UNA-SimpleSmaug-34b-v1beta,34.39,52.87,72.48,42.56,45.4,31.71,74.57,45.56,70.17,86.74
fblgit/UNA-TheBeagle-7b-v1,7.24,50.29,66.72,45.64,30.19,28.44,73.04,36.89,69.85,88.0
fblgit/UNA-ThePitbull-21.4B-v2,21.42,63.5,63.53,39.22,35.16,30.2,77.73,37.9,78.24,91.79
fblgit/juanako-7b-UNA,7.24,50.7,44.81,46.45,27.71,29.61,68.17,48.37,65.13,85.34
fblgit/una-cybertron-7b-v2-bf16,7.24,39.73,55.04,44.73,24.43,29.78,68.26,47.37,64.63,85.85
fhai50032/RolePlayLake-7B,7.24,52.52,65.05,44.59,31.6,30.37,70.56,50.57,64.38,87.42
flammenai/Mahou-1.2a-llama3-8B,8.03,50.94,71.11,38.47,38.17,28.86,68.86,50.93,58.76,83.97
flammenai/Mahou-1.2a-mistral-7B,7.24,51.18,63.61,38.96,31.63,27.18,68.77,45.52,68.71,88.14
freewheelin/free-evo-qwen72b-v0.8-re,72.29,61.27,75.89,48.72,48.7,35.65,79.86,53.31,74.85,91.34
google/gemma-1.1-7b-it,8.54,39.35,42.99,42.3,25.84,29.36,60.07,50.39,50.74,76.14
google/gemma-7b,8.54,43.62,52.77,40.62,29.48,28.69,61.09,26.59,44.91,82.47
google/gemma-7b-it,8.54,36.46,29.19,42.74,16.95,28.44,51.45,38.68,47.29,71.96
gradientai/Llama-3-8B-Instruct-Gradient-1048k,8.03,43.46,55.42,42.98,29.4,27.77,57.59,44.56,46.18,79.35
haoranxu/ALMA-13B-R,13.0,34.57,0.0,35.28,18.17,25.76,55.55,0.39,36.09,79.45
huggyllama/llama-13b,13.02,39.88,7.58,34.62,19.52,25.5,56.14,24.11,39.48,80.92
huggyllama/llama-65b,65.29,47.03,37.23,35.95,30.78,27.6,63.48,25.26,43.43,86.09
iRyanBell/ARC1,8.03,49.03,69.83,39.91,33.71,29.45,58.79,44.11,52.73,76.41
ibivibiv/multimaster-7b-v6,35.43,51.94,70.36,43.96,30.95,30.37,72.78,44.73,70.89,88.77
ibm/merlinite-7b,7.24,50.07,41.09,44.12,30.68,29.7,63.65,24.99,50.15,84.52
icefog72/IceLemonTeaRP-32k-7b,7.24,49.97,62.4,42.9,30.68,29.03,67.66,52.12,61.76,86.53
invalid-coder/Sakura-SOLAR-Instruct-CarbonVillain-en-10.7B-v2-slerp,10.73,51.58,65.35,39.92,31.46,30.54,71.25,45.55,71.94,88.42
jebcarter/psyonic-cetacean-20B,19.99,49.07,14.71,46.61,28.86,27.35,63.57,25.44,57.55,86.2
jeonsworld/CarbonVillain-en-10.7B-v4,10.73,51.68,65.58,39.65,31.42,30.62,71.25,45.79,71.95,88.48
jsfs11/MixtureofMerges-MoE-4x7b-v4,24.15,51.69,71.34,43.86,30.32,28.61,72.53,40.3,75.3,88.85
jsfs11/MixtureofMerges-MoE-4x7b-v5,24.15,51.98,69.75,43.05,30.98,28.44,73.89,41.99,73.73,89.0
kaist-ai/mistral-orpo-capybara-7k,7.24,44.89,42.38,39.64,29.71,28.61,63.48,53.67,45.98,85.34
kekmodel/StopCarbon-10.7B-v5,10.73,51.78,65.2,40.19,31.57,30.62,70.99,47.28,71.84,88.48
kevin009/llamaRAGdrama,7.24,40.07,65.66,43.16,27.24,26.43,72.01,25.98,70.24,88.83
langgptai/Qwen-las-v0.1,7.9,38.93,4.7,37.01,23.25,24.66,46.42,33.01,47.35,69.1
langgptai/qwen1.5-7b-chat-sa-v0.1,15.44,43.25,19.86,35.51,29.93,31.21,54.35,42.68,50.17,76.8
lightblue/suzume-llama-3-8B-multilingual,8.03,49.5,61.56,39.77,33.83,28.36,60.75,66.78,48.7,79.49
lmsys/vicuna-13b-v1.3,13.0,33.84,10.77,37.27,22.43,26.76,54.61,33.44,52.14,80.41
lmsys/vicuna-7b-v1.3,7.0,32.98,5.69,37.93,18.38,24.24,50.43,29.09,47.01,76.92
lmsys/vicuna-7b-v1.5,7.0,39.47,8.19,42.31,21.47,25.84,53.24,23.52,50.34,77.39
meraGPT/mera-mix-4x7B,24.15,40.19,66.11,40.57,27.48,30.45,72.95,48.32,77.17,89.17
meta-llama/Llama-2-13b-chat-hf,13.02,33.43,15.24,40.07,19.23,23.15,59.04,39.85,44.12,81.94
meta-llama/Llama-2-13b-hf,13.02,41.26,22.82,35.38,23.78,28.1,59.39,24.82,37.38,82.13
meta-llama/Llama-2-70b-chat-hf,68.98,30.42,26.69,36.87,24.33,26.43,64.59,49.58,52.8,85.88
meta-llama/Llama-2-70b-hf,68.98,54.73,54.06,41.24,37.18,30.29,67.32,24.07,44.92,87.33
